000099	-10.8518499554	-16.1827040650	  0.2294669592
000100	-10.9577219445	-16.3252520515	  0.2342127319
000101	-11.0957433889	-16.5069252271	  0.2409688159
000102	-11.2410318272	-16.6981637115	  0.2480806158
000103	-11.3499993251	-16.8415941140	  0.2534145229
000104	-11.4587901276	-16.9925470119	  0.2548823052
000105	-11.5603231732	-17.1338398550	  0.2560479989
000106	-11.7053657129	-17.3356802780	  0.2577132220
000107	-11.8141441163	-17.4870557217	  0.2589620991
000108	-11.9100654655	-17.6274540406	  0.2627036328
000109	-12.0306424886	-17.8045027610	  0.2676216150
000110	-12.1258376703	-17.9442821713	  0.2715043465
000111	-12.2814799820	-18.1617418705	  0.2780684849
000112	-12.3958302017	-18.3067615833	  0.2831786559
000113	-12.4861024090	-18.4212454008	  0.2872128101
000114	-12.6342310070	-18.6113790525	  0.2937582772
000115	-12.7434847493	-18.7607821226	  0.2982869871
000116	-12.8472807279	-18.9027217720	  0.3025894655
000117	-12.9853029765	-19.0890951045	  0.3080300458
000118	-13.1014691810	-19.2366542490	  0.3115078674
000119	-13.2408693741	-19.4137261724	  0.3156812758
000120	-13.3279912231	-19.5243919687	  0.3182895580
000121	-13.4399771707	-19.6790771522	  0.3224223027
000122	-13.5462008113	-19.8263160354	  0.3263745812
000123	-13.6859657290	-20.0200472064	  0.3315748348
000124	-13.8093974805	-20.1844681604	  0.3376428364
000125	-13.8961374738	-20.2998356726	  0.3419462134
000126	-14.0200534591	-20.4646486761	  0.3480939795
000127	-14.1759445328	-20.6540093832	  0.3524886480
000128	-14.2950034893	-20.7882971847	  0.3539258753
000129	-14.4203267960	-20.9296506103	  0.3554387230
000130	-14.5684429605	-21.1027936731	  0.3574758909
000131	-14.7043924041	-21.2664128561	  0.3595382396
000132	-14.8176860381	-21.4027651008	  0.3612569003
000133	-14.9514402560	-21.5788899101	  0.3631670062
000134	-15.0512907476	-21.7140561575	  0.3645640061
000135	-15.1563949257	-21.8563342486	  0.3660345100
000136	-15.2702495219	-21.9949265374	  0.3685640338
000137	-15.3818049259	-22.1251521688	  0.3713782450
000138	-15.5285901426	-22.2965037748	  0.3750811996
000139	-15.6779378267	-22.4752714382	  0.3768435752
000140	-15.7684524796	-22.5844092835	  0.3775524420
000141	-15.9087697729	-22.7584406622	  0.3784800555
000142	-16.0387165960	-22.9303993518	  0.3789576047
000143	-16.1507391225	-23.0786388116	  0.3793692828
000144	-16.2788670711	-23.2435035780	  0.3795216337
000145	-16.4021158106	-23.4019597806	  0.3796593222
000146	-16.5318537435	-23.5687588910	  0.3798042600
000147	-16.6309737666	-23.7056212947	  0.3799497334
000148	-16.7312384189	-23.8499044552	  0.3801184081
000149	-16.8582463361	-24.0326717934	  0.3803320729
000150	-16.9585152915	-24.1769611463	  0.3805007548
000151	-17.0920412577	-24.3589419378	  0.3825808774
000152	-17.1854673077	-24.4833581606	  0.3845679622
000153	-17.2855602034	-24.6166526750	  0.3866968446
000154	-17.4502580438	-24.8372133039	  0.3908012671
000155	-17.5735629043	-25.0072869305	  0.3962902299
000156	-17.6598818631	-25.1263461336	  0.4001327511
000157	-17.7831906925	-25.2964252355	  0.4056218905
000158	-17.8974555015	-25.4659970654	  0.4090618357
000159	-18.0024901757	-25.6268863669	  0.4115338445
000160	-18.1130550509	-25.7962466823	  0.4141360076
000161	-18.2156976702	-25.9559830753	  0.4157793717
000162	-18.3277053423	-26.1341069927	  0.4163998516
000163	-18.4443786236	-26.3196505504	  0.4170461773
000164	-18.5143980205	-26.4360056128	  0.4196945874
000165	-18.6264464321	-26.6272545718	  0.4262147270
000166	-18.7198196076	-26.7866278486	  0.4316481475
000167	-18.8161878196	-26.9469768070	  0.4361703036
000168	-18.9360561650	-27.1407782231	  0.4403124742
000169	-19.0359459169	-27.3022785373	  0.4437642645
000170	-19.1288545260	-27.4616007712	  0.4450223055
000171	-19.2093307074	-27.6105332738	  0.4437692035
000172	-19.3363950617	-27.8456837479	  0.4417906726
000173	-19.4709555285	-28.0482508540	  0.4337656056
000174	-19.5489662702	-28.1596684782	  0.4283447476
000175	-19.6507616900	-28.2995665846	  0.4249657832
000176	-19.7555380058	-28.4348865496	  0.4273262512
000177	-19.9733065788	-28.7378508318	  0.4254844381
000178	-20.0387062471	-28.8393651983	  0.4216592353
000179	-20.1075492860	-28.9462244175	  0.4176326310
000180	-20.2048851954	-29.1192543060	  0.4190681667
000181	-20.2887347997	-29.2688631592	  0.4204844503
000182	-20.3676984688	-29.4010052169	  0.4222683026
000183	-20.4373905482	-29.5110828262	  0.4241796093
000184	-20.5488972770	-29.6872060569	  0.4272376838
000185	-20.6345738052	-29.8433652073	  0.4300624379
000186	-20.6929808739	-30.0349282380	  0.4339287606
000187	-20.7630697324	-30.2648051064	  0.4385683726
000188	-20.8215142369	-30.4526337441	  0.4421739120
000189	-20.8800948898	-30.6263831314	  0.4447970439
000190	-20.9357454731	-30.7914419724	  0.4472889727
000191	-20.9943261261	-30.9651913596	  0.4499121046
000192	-21.0584301777	-31.1702315463	  0.4532269304
000193	-21.1131805311	-31.3458388681	  0.4560725445
000194	-21.1567826304	-31.4976017065	  0.4574349318
000195	-21.2196651333	-31.7368579935	  0.4578531215
000196	-21.2738738987	-31.9431123147	  0.4582136279
000197	-21.3140501275	-32.1281586168	  0.4621378722
000198	-21.3521707148	-32.3051215820	  0.4660186741
000199	-21.3759968488	-32.4157269960	  0.4684442534
000200	-21.4178289074	-32.6571974503	  0.4713633593
000201	-21.4496750883	-32.8421586230	  0.4735535344
000202	-21.4831957939	-33.0368453590	  0.4758588725
000203	-21.5734879266	-33.2265423005	  0.4807130167
000204	-21.6433296961	-33.3693533512	  0.4844518600
000205	-21.7214030477	-33.5292486129	  0.4875970583
000206	-21.8217569679	-33.7517423192	  0.4742525405
000207	-21.8806611060	-33.8474953352	  0.4774886545
000208	-21.9612007196	-33.9894989626	  0.4813924657
000209	-22.0185586292	-34.1223456217	  0.4826815923
000210	-22.1103283307	-34.3348934334	  0.4847441284
000211	-22.1868047230	-34.5120204119	  0.4864629454
000212	-22.2612759038	-34.6232164362	  0.4909650638
000213	-22.3819818344	-34.7991716349	  0.4984596111
000214	-22.5293674074	-35.0093831280	  0.5056846319
000215	-22.6132927515	-35.1096321251	  0.5017161215
000216	-22.7349843656	-35.2549930094	  0.4959617878
000217	-22.8272953968	-35.3655883744	  0.4933176938
000218	-22.9754346707	-35.5435805656	  0.4917396383
000219	-23.1282982145	-35.7452909462	  0.4912267571
000220	-23.2061311745	-35.9055117015	  0.4945217720
000221	-23.2692727234	-36.0398103958	  0.4964993233
000222	-23.3247365525	-36.1694267327	  0.4963613743
000223	-23.3949940685	-36.3336152146	  0.4961866306
000224	-23.4689482210	-36.5064425599	  0.4960026926
000225	-23.5880500033	-36.7033662479	  0.5050168683
000226	-23.6846899943	-36.8486331766	  0.5139913746
000227	-23.7864181963	-37.0015485836	  0.5234383994
000228	-23.9268966350	-37.1978498865	  0.5343833227
000229	-24.0367246177	-37.3482296709	  0.5425032959
000230	-24.1523312580	-37.5065217679	  0.5510505058
000231	-24.2601467982	-37.7072893037	  0.5586409633
000232	-24.3336537473	-37.8605351681	  0.5636987714
000233	-24.4303745968	-38.0621769223	  0.5703538632
000234	-24.4863479511	-38.2538495902	  0.5760121728
